textDisplay|classification_textblob
['poco', 'juego', 'comprado', 'arrepiento']|1
['primero', 'juego', 'tocar', 'tema', 'ayuda', 'autosuperacion']|1
['hrefhttpswwwyoutubecomwatchvelyujajtiesampt3m59s359a', 'vido', 'poner', 'peligro', 'madre', 'venir', 'pegar yo', 'calificación']|1
['hrefhttpswwwyoutubecomwatchvelyujajtiesampt17m31s1731a', 'activo', 'sistema', 'nervioso', 'parasimpático', 'técnicamente']|1
['spoiler']|1
['pasar', 'momento', 'difícil', 'vida', 'alguno', 'momento', 'juego', 'llegar', 'si', 'destinar', 'adivinado', 'necesitar', 'obviamente', 'decir', 'solucionar', 'problema', 'pequeño', 'empujoncito', 'necesitar', 'volver', 'juego', 'favorito', 'luego', 'volvía', 'recaer', 'perdi ', 'ser', 'querer', 'vida', 'ir', 'sorpresa', 'salir', 'capítulo', '9', 'celestir', 'si', 'jugar', 'completo', 'sabrás', 'bien', 'tratar', 'especialmente', 'capítulo', 'poder', 'creer', 'pasar', 'duda', 'juego', 'especial', 'encanta', 'celeste']|1
['celestir', 'género', 'ansiedad']|1
['maravilloso', 'video', 'gran', 'trabajo', 'siempre', 'cada', 'nota', 'dedicación', 'mucho', 'gracia', 'traerno', 'contenido', 'calidad']|1
['realidad', 'nunca', 'saber', 'ansiedad', 'jugar', 'juego', 'demasiado', 'tensión', 'cada', 'nivel', 'divertido', 'dificultad', 'vez']|1
['verdad', 'tema', 'ansiedad', 'complejo', 'emoción', 'sentir', 'alguno', 'punto', 'vido', 'extraño', 'romanización', 'dar', 'persona', 'entender', 'respuesta', 'excesivo', 'entro', 'modo', 'luchahuido', 'hablar', 'persona', 'tomar', 'examen', 'incluso', 'recursar', 'materio', 'generar', 'tanto', 'ansiedad', 'tomar', 'examir', 'crisis', 'psicologar', 'directo', 'decir', 'quotno', 'condición', 'tomarloquot', 'incluso', 'decir él', 'padre', 'dejario', 'pasar', 'materia', 'complicado', 'sentir', 'ir', 'dar', 'ataque', 'cardíaco', 'junto', 'dolor', 'cabeza', 'agotamiento', 'parecer', 'exageración', 'así', 'nadie', 'creer', 'todavía', 'decir', 'tener', 'taquicardiabrnunco', 'conocí', 'celeste', 'gustado', 'jugar él', 'año', 'atravese', 'ansiedad', 'silencio', 'soledad', 'aunque', 'encontrar', 'refugio', 'juegos', 'poder', 'tomar', 'riesgo', 'exponer yo', 'situación', 'controlado', 'estrés', 'ayudar', 'descomprimirme', 'feo', 'verdad', 'levantar él', 'simple', 'hecho', 'persón', 'cerca', 'moleste', 'sienta', 'quema', 'piel', 'si', 'acerca', 'quedar él', 'mudo', 'paralizar él', 'sobrepensar', 'catarato', 'agua', 'ahogo', 'parar', 'lograr', 'detener él', 'generar', 'paz', 'mental', 'inexplicable', 'sumar', 'bajo', 'autoestima', 'uff', 'feo', 'pensar', 'mundo', 'si', 'traga', 'tierro', 'nadie', 'ir', 'importarbrincluso', 'contar él', 'padre', 'cercano', 'ver', 'saber', 'lidiar', 'actuan', 'forma', 'extraño', 'si', 'cristal', 'simplemente', 'dimensionar', 'conllevar', 'estobr él', 'verdad', 'alargar', 'texto', 'solo', 'querer', 'expresar', 'gana', 'dar', 'jugar él', 'gusta', 'video', 'cierto', 'forma', 'musico', 'junto', 'tono', 'voz', 'relajante', 'evitar', 'angustie', 'momento', 'identificarmir']|1
['terrible', 'análisis', 'buen', 'videobr él', 'verdad', 'puse', 'ajugar', 'celestir', 'nunca', 'mepusar', 'ver', 'trasfondo', 'tenia', 'ahora', 'viendolo', 'perspectiva', 'solo', 'hacer', 'valoración', 'juego', 'aumentar', '1010']|2
[]|1
['venir', 'video', 'indie', 'cross', 'moro', 'production', 'ahora', 'gustar', 'juego', 'quize', 'haber', 'escuchar', '3']|1
['gracias', 'video', 'inspire', 'hacer', 'tesis', 'hacer', 'año', 'ahora', 'apuntar', 'titularme', 'grande']|1
['superar él', 'desarrollar él', 'depender', 'cómo', 'pase', 'gameplay']|1
